"","Year","County.of.Study","County.of.Origin","value"
"1818","2011","Kildare","Offaly",201
"1819","2012","Kildare","Offaly",190
"1820","2013","Kildare","Offaly",183
"1821","2000","Louth","Offaly",11
"1822","2001","Louth","Offaly",10
"1823","2002","Louth","Offaly",13
"1824","2003","Louth","Offaly",8
"1825","2004","Louth","Offaly",8
"1826","2005","Louth","Offaly",8
"1827","2006","Louth","Offaly",7
"1828","2007","Louth","Offaly",10
"1829","2008","Louth","Offaly",8
"1830","2009","Louth","Offaly",9
"1831","2010","Louth","Offaly",10
"1832","2011","Louth","Offaly",11
"1833","2012","Louth","Offaly",12
"1834","2013","Louth","Offaly",10
"1835","2000","Westmeath","Offaly",358
"1836","2001","Westmeath","Offaly",372
"1837","2002","Westmeath","Offaly",425
"1838","2003","Westmeath","Offaly",441
"1839","2004","Westmeath","Offaly",426
"1840","2005","Westmeath","Offaly",393
"1841","2006","Westmeath","Offaly",441
"1842","2007","Westmeath","Offaly",406
"1843","2008","Westmeath","Offaly",360
"1844","2009","Westmeath","Offaly",359
"1845","2010","Westmeath","Offaly",415
"1846","2011","Westmeath","Offaly",493
"1847","2012","Westmeath","Offaly",531
"1848","2013","Westmeath","Offaly",543
"1849","2000","Cork","Offaly",48
"1850","2001","Cork","Offaly",47
"1851","2002","Cork","Offaly",33
"1852","2003","Cork","Offaly",35
"1853","2004","Cork","Offaly",40
"1854","2005","Cork","Offaly",44
"1855","2006","Cork","Offaly",49
"1856","2007","Cork","Offaly",58
"1857","2008","Cork","Offaly",44
"1858","2009","Cork","Offaly",41
"1859","2010","Cork","Offaly",29
"1860","2011","Cork","Offaly",29
"1861","2012","Cork","Offaly",40
"1862","2013","Cork","Offaly",35
"1863","2000","Kerry","Offaly",18
"1864","2001","Kerry","Offaly",18
"1865","2002","Kerry","Offaly",11
"1866","2003","Kerry","Offaly",12
"1867","2004","Kerry","Offaly",10
"1868","2005","Kerry","Offaly",9
"1869","2006","Kerry","Offaly",11
"1870","2007","Kerry","Offaly",13
"1871","2008","Kerry","Offaly",14
"1872","2009","Kerry","Offaly",16
"1873","2010","Kerry","Offaly",11
"1874","2011","Kerry","Offaly",17
"1875","2012","Kerry","Offaly",15
"1876","2013","Kerry","Offaly",16
"1877","2000","Limerick","Offaly",195
"1878","2001","Limerick","Offaly",203
"1879","2002","Limerick","Offaly",206
"1880","2003","Limerick","Offaly",218
"1881","2004","Limerick","Offaly",216
"1882","2005","Limerick","Offaly",205
"1883","2006","Limerick","Offaly",229
"1884","2007","Limerick","Offaly",259
"1885","2008","Limerick","Offaly",265
"1886","2009","Limerick","Offaly",291
"1887","2010","Limerick","Offaly",297
"1888","2011","Limerick","Offaly",290
"1889","2012","Limerick","Offaly",297
"1890","2013","Limerick","Offaly",280
"1891","2000","Tipperary","Offaly",5
"1892","2001","Tipperary","Offaly",6
"1893","2002","Tipperary","Offaly",8
"1894","2003","Tipperary","Offaly",6
"1895","2004","Tipperary","Offaly",3
"1896","2005","Tipperary","Offaly",9
"1897","2006","Tipperary","Offaly",4
"1898","2007","Tipperary","Offaly",4
"1899","2008","Tipperary","Offaly",4
"1900","2009","Tipperary","Offaly",5
"1901","2010","Tipperary","Offaly",9
"1902","2011","Tipperary","Offaly",11
"1903","2012","Tipperary","Offaly",0
"1904","2013","Tipperary","Offaly",0
"1905","2000","Waterford","Offaly",76
"1906","2001","Waterford","Offaly",86
"1907","2002","Waterford","Offaly",85
"1908","2003","Waterford","Offaly",93
"1909","2004","Waterford","Offaly",85
"1910","2005","Waterford","Offaly",64
"1911","2006","Waterford","Offaly",70
"1912","2007","Waterford","Offaly",52
"1913","2008","Waterford","Offaly",59
"1914","2009","Waterford","Offaly",80
"1915","2010","Waterford","Offaly",84
"1916","2011","Waterford","Offaly",90
"1917","2012","Waterford","Offaly",81
"1918","2013","Waterford","Offaly",78
"1919","2000","Galway","Offaly",238
"1920","2001","Galway","Offaly",239
"1921","2002","Galway","Offaly",233
"1922","2003","Galway","Offaly",266
"1923","2004","Galway","Offaly",280
"1924","2005","Galway","Offaly",284
"1925","2006","Galway","Offaly",286
"1926","2007","Galway","Offaly",273
"1927","2008","Galway","Offaly",287
"1928","2009","Galway","Offaly",329
"1929","2010","Galway","Offaly",357
"1930","2011","Galway","Offaly",386
"1931","2012","Galway","Offaly",389
"1932","2013","Galway","Offaly",376
"1933","2000","Sligo","Offaly",43
"1934","2001","Sligo","Offaly",34
"1935","2002","Sligo","Offaly",29
"1936","2003","Sligo","Offaly",28
"1937","2004","Sligo","Offaly",21
"1938","2005","Sligo","Offaly",36
"1939","2006","Sligo","Offaly",36
"1940","2007","Sligo","Offaly",39
"1941","2008","Sligo","Offaly",38
"1942","2009","Sligo","Offaly",44
"1943","2010","Sligo","Offaly",33
"1944","2011","Sligo","Offaly",42
"1945","2012","Sligo","Offaly",29
"1946","2013","Sligo","Offaly",39
"1947","2000","Donegal","Offaly",4
"1948","2001","Donegal","Offaly",2
"1949","2002","Donegal","Offaly",1
"1950","2003","Donegal","Offaly",6
"1951","2004","Donegal","Offaly",4
"1952","2005","Donegal","Offaly",8
"1953","2006","Donegal","Offaly",4
"1954","2007","Donegal","Offaly",3
"1955","2008","Donegal","Offaly",0
"1956","2009","Donegal","Offaly",0
"1957","2010","Donegal","Offaly",3
"1958","2011","Donegal","Offaly",5
"1959","2012","Donegal","Offaly",5
"1960","2013","Donegal","Offaly",9
"1975","2000","Carlow","Westmeath",22
"1976","2001","Carlow","Westmeath",22
"1977","2002","Carlow","Westmeath",18
"1978","2003","Carlow","Westmeath",29
"1979","2004","Carlow","Westmeath",23
"1980","2005","Carlow","Westmeath",15
"1981","2006","Carlow","Westmeath",24
"1982","2007","Carlow","Westmeath",24
"1983","2008","Carlow","Westmeath",26
"1984","2009","Carlow","Westmeath",30
"1985","2010","Carlow","Westmeath",36
"1986","2011","Carlow","Westmeath",37
"1987","2012","Carlow","Westmeath",37
"1988","2013","Carlow","Westmeath",39
"1989","2000","Dublin","Westmeath",902
"1990","2001","Dublin","Westmeath",847
"1991","2002","Dublin","Westmeath",889
"1992","2003","Dublin","Westmeath",867
"1993","2004","Dublin","Westmeath",855
"1994","2005","Dublin","Westmeath",800
"1995","2006","Dublin","Westmeath",787
"1996","2007","Dublin","Westmeath",774
"1997","2008","Dublin","Westmeath",790
"1998","2009","Dublin","Westmeath",833
"1999","2010","Dublin","Westmeath",918
"2000","2011","Dublin","Westmeath",965
"2001","2012","Dublin","Westmeath",1035
"2002","2013","Dublin","Westmeath",1010
"2003","2000","Kildare","Westmeath",126
"2004","2001","Kildare","Westmeath",139
"2005","2002","Kildare","Westmeath",153
"2006","2003","Kildare","Westmeath",157
"2007","2004","Kildare","Westmeath",169
"2008","2005","Kildare","Westmeath",184
"2009","2006","Kildare","Westmeath",221
"2010","2007","Kildare","Westmeath",207
"2011","2008","Kildare","Westmeath",206
"2012","2009","Kildare","Westmeath",227
"2013","2010","Kildare","Westmeath",264
"2014","2011","Kildare","Westmeath",280
"2015","2012","Kildare","Westmeath",272
"2016","2013","Kildare","Westmeath",292
"2017","2000","Louth","Westmeath",21
"2018","2001","Louth","Westmeath",10
"2019","2002","Louth","Westmeath",18
"2020","2003","Louth","Westmeath",21
"2021","2004","Louth","Westmeath",27
"2022","2005","Louth","Westmeath",28
"2023","2006","Louth","Westmeath",29
"2024","2007","Louth","Westmeath",33
"2025","2008","Louth","Westmeath",34
"2026","2009","Louth","Westmeath",38
"2027","2010","Louth","Westmeath",44
"2028","2011","Louth","Westmeath",47
"2029","2012","Louth","Westmeath",43
"2030","2013","Louth","Westmeath",39
"2031","2000","Westmeath","Westmeath",503
"2032","2001","Westmeath","Westmeath",547
"2033","2002","Westmeath","Westmeath",605
"2034","2003","Westmeath","Westmeath",650
"2035","2004","Westmeath","Westmeath",753
"2036","2005","Westmeath","Westmeath",832
"2037","2006","Westmeath","Westmeath",888
"2038","2007","Westmeath","Westmeath",736
"2039","2008","Westmeath","Westmeath",850
"2040","2009","Westmeath","Westmeath",956
"2041","2010","Westmeath","Westmeath",1062
"2042","2011","Westmeath","Westmeath",1181
"2043","2012","Westmeath","Westmeath",933
"2044","2013","Westmeath","Westmeath",817
"2045","2000","Cork","Westmeath",31
"2046","2001","Cork","Westmeath",31
"2047","2002","Cork","Westmeath",30
"2048","2003","Cork","Westmeath",32
"2049","2004","Cork","Westmeath",21
"2050","2005","Cork","Westmeath",22
"2051","2006","Cork","Westmeath",22
"2052","2007","Cork","Westmeath",20
"2053","2008","Cork","Westmeath",25
"2054","2009","Cork","Westmeath",19
"2055","2010","Cork","Westmeath",22
"2056","2011","Cork","Westmeath",27
"2057","2012","Cork","Westmeath",22
"2058","2013","Cork","Westmeath",22
"2059","2000","Kerry","Westmeath",4
"2060","2001","Kerry","Westmeath",5
"2061","2002","Kerry","Westmeath",6
"2062","2003","Kerry","Westmeath",7
"2063","2004","Kerry","Westmeath",6
"2064","2005","Kerry","Westmeath",6
"2065","2006","Kerry","Westmeath",2
"2066","2007","Kerry","Westmeath",3
"2067","2008","Kerry","Westmeath",6
"2068","2009","Kerry","Westmeath",4
"2069","2010","Kerry","Westmeath",8
"2070","2011","Kerry","Westmeath",6
"2071","2012","Kerry","Westmeath",9
"2072","2013","Kerry","Westmeath",9
"2073","2000","Limerick","Westmeath",187
"2074","2001","Limerick","Westmeath",191
"2075","2002","Limerick","Westmeath",172
"2076","2003","Limerick","Westmeath",163
"2077","2004","Limerick","Westmeath",158
"2078","2005","Limerick","Westmeath",130
"2079","2006","Limerick","Westmeath",126
"2080","2007","Limerick","Westmeath",126
"2081","2008","Limerick","Westmeath",127
"2082","2009","Limerick","Westmeath",150
"2083","2010","Limerick","Westmeath",147
"2084","2011","Limerick","Westmeath",143
"2085","2012","Limerick","Westmeath",164
"2086","2013","Limerick","Westmeath",156
"2087","2000","Tipperary","Westmeath",2
"2088","2001","Tipperary","Westmeath",1
"2089","2002","Tipperary","Westmeath",1
"2090","2003","Tipperary","Westmeath",1
"2091","2004","Tipperary","Westmeath",1
"2092","2005","Tipperary","Westmeath",1
"2093","2006","Tipperary","Westmeath",1
"2094","2007","Tipperary","Westmeath",1
"2095","2008","Tipperary","Westmeath",0
"2096","2009","Tipperary","Westmeath",2
"2097","2010","Tipperary","Westmeath",9
"2098","2011","Tipperary","Westmeath",10
"2099","2012","Tipperary","Westmeath",0
"2100","2013","Tipperary","Westmeath",0
"2101","2000","Waterford","Westmeath",65
"2102","2001","Waterford","Westmeath",61
"2103","2002","Waterford","Westmeath",52
"2104","2003","Waterford","Westmeath",48
"2105","2004","Waterford","Westmeath",46
"2106","2005","Waterford","Westmeath",26
"2107","2006","Waterford","Westmeath",23
"2108","2007","Waterford","Westmeath",25
"2109","2008","Waterford","Westmeath",26
"2110","2009","Waterford","Westmeath",32
"2111","2010","Waterford","Westmeath",28
"2112","2011","Waterford","Westmeath",28
"2113","2012","Waterford","Westmeath",23
"2114","2013","Waterford","Westmeath",25
"2115","2000","Galway","Westmeath",314
"2116","2001","Galway","Westmeath",305
"2117","2002","Galway","Westmeath",336
"2118","2003","Galway","Westmeath",348
"2119","2004","Galway","Westmeath",379
"2120","2005","Galway","Westmeath",409
"2121","2006","Galway","Westmeath",458
"2122","2007","Galway","Westmeath",463
"2123","2008","Galway","Westmeath",457
"2124","2009","Galway","Westmeath",476
"2125","2010","Galway","Westmeath",509
"2126","2011","Galway","Westmeath",510
"2127","2012","Galway","Westmeath",485
"2128","2013","Galway","Westmeath",436
"2129","2000","Sligo","Westmeath",90
"2130","2001","Sligo","Westmeath",89
"2131","2002","Sligo","Westmeath",71
"2132","2003","Sligo","Westmeath",80
"2133","2004","Sligo","Westmeath",75
"2134","2005","Sligo","Westmeath",54
"2135","2006","Sligo","Westmeath",64
"2136","2007","Sligo","Westmeath",71
"2137","2008","Sligo","Westmeath",73
"2138","2009","Sligo","Westmeath",80
"2139","2010","Sligo","Westmeath",132
"2140","2011","Sligo","Westmeath",129
"2141","2012","Sligo","Westmeath",127
"2142","2013","Sligo","Westmeath",143
"2143","2000","Donegal","Westmeath",6
"2144","2001","Donegal","Westmeath",3
"2145","2002","Donegal","Westmeath",4
"2146","2003","Donegal","Westmeath",3
"2147","2004","Donegal","Westmeath",4
"2148","2005","Donegal","Westmeath",5
"2149","2006","Donegal","Westmeath",11
"2150","2007","Donegal","Westmeath",9
"2151","2008","Donegal","Westmeath",6
"2152","2009","Donegal","Westmeath",7
"2153","2010","Donegal","Westmeath",15
"2154","2011","Donegal","Westmeath",8
"2155","2012","Donegal","Westmeath",10
"2156","2013","Donegal","Westmeath",10
"2171","2000","Carlow","Wexford",263
"2172","2001","Carlow","Wexford",249
"2173","2002","Carlow","Wexford",256
"2174","2003","Carlow","Wexford",273
"2175","2004","Carlow","Wexford",314
"2176","2005","Carlow","Wexford",332
"2177","2006","Carlow","Wexford",351
"2178","2007","Carlow","Wexford",392
"2179","2008","Carlow","Wexford",396
"2180","2009","Carlow","Wexford",405
"2181","2010","Carlow","Wexford",496
"2182","2011","Carlow","Wexford",557
"2183","2012","Carlow","Wexford",576
"2184","2013","Carlow","Wexford",600
"2185","2000","Dublin","Wexford",1353
"2186","2001","Dublin","Wexford",1277
"2187","2002","Dublin","Wexford",1295
"2188","2003","Dublin","Wexford",1347
"2189","2004","Dublin","Wexford",1414
"2190","2005","Dublin","Wexford",1376
"2191","2006","Dublin","Wexford",1385
"2192","2007","Dublin","Wexford",1418
"2193","2008","Dublin","Wexford",1485
"2194","2009","Dublin","Wexford",1625
"2195","2010","Dublin","Wexford",1788
"2196","2011","Dublin","Wexford",1938
"2197","2012","Dublin","Wexford",2001
"2198","2013","Dublin","Wexford",1961
"2199","2000","Kildare","Wexford",125
"2200","2001","Kildare","Wexford",124
"2201","2002","Kildare","Wexford",135
"2202","2003","Kildare","Wexford",144
"2203","2004","Kildare","Wexford",136
"2204","2005","Kildare","Wexford",143
"2205","2006","Kildare","Wexford",155
"2206","2007","Kildare","Wexford",137
"2207","2008","Kildare","Wexford",147
"2208","2009","Kildare","Wexford",158
"2209","2010","Kildare","Wexford",177
"2210","2011","Kildare","Wexford",181
"2211","2012","Kildare","Wexford",203
"2212","2013","Kildare","Wexford",201
"2213","2000","Louth","Wexford",8
"2214","2001","Louth","Wexford",7
"2215","2002","Louth","Wexford",8
"2216","2003","Louth","Wexford",9
"2217","2004","Louth","Wexford",8
"2218","2005","Louth","Wexford",6
"2219","2006","Louth","Wexford",6
"2220","2007","Louth","Wexford",9
"2221","2008","Louth","Wexford",9
"2222","2009","Louth","Wexford",10
"2223","2010","Louth","Wexford",12
"2224","2011","Louth","Wexford",14
"2225","2012","Louth","Wexford",17
"2226","2013","Louth","Wexford",14
"2227","2000","Westmeath","Wexford",12
"2228","2001","Westmeath","Wexford",8
"2229","2002","Westmeath","Wexford",14
"2230","2003","Westmeath","Wexford",10
"2231","2004","Westmeath","Wexford",11
"2232","2005","Westmeath","Wexford",8
"2233","2006","Westmeath","Wexford",8
"2234","2007","Westmeath","Wexford",7
"2235","2008","Westmeath","Wexford",9
"2236","2009","Westmeath","Wexford",4
"2237","2010","Westmeath","Wexford",5
"2238","2011","Westmeath","Wexford",7
"2239","2012","Westmeath","Wexford",7
"2240","2013","Westmeath","Wexford",13
"2241","2000","Cork","Wexford",186
"2242","2001","Cork","Wexford",167
"2243","2002","Cork","Wexford",156
"2244","2003","Cork","Wexford",161
"2245","2004","Cork","Wexford",180
"2246","2005","Cork","Wexford",198
"2247","2006","Cork","Wexford",197
"2248","2007","Cork","Wexford",220
"2249","2008","Cork","Wexford",246
"2250","2009","Cork","Wexford",264
"2251","2010","Cork","Wexford",274
"2252","2011","Cork","Wexford",268
"2253","2012","Cork","Wexford",274
"2254","2013","Cork","Wexford",258
"2255","2000","Kerry","Wexford",14
"2256","2001","Kerry","Wexford",14
"2257","2002","Kerry","Wexford",14
"2258","2003","Kerry","Wexford",11
"2259","2004","Kerry","Wexford",10
"2260","2005","Kerry","Wexford",6
"2261","2006","Kerry","Wexford",6
"2262","2007","Kerry","Wexford",6
"2263","2008","Kerry","Wexford",5
"2264","2009","Kerry","Wexford",7
"2265","2010","Kerry","Wexford",7
"2266","2011","Kerry","Wexford",19
"2267","2012","Kerry","Wexford",16
"2268","2013","Kerry","Wexford",26
"2269","2000","Limerick","Wexford",205
"2270","2001","Limerick","Wexford",201
"2271","2002","Limerick","Wexford",199
"2272","2003","Limerick","Wexford",186
"2273","2004","Limerick","Wexford",189
"2274","2005","Limerick","Wexford",174
"2275","2006","Limerick","Wexford",194
"2276","2007","Limerick","Wexford",222
"2277","2008","Limerick","Wexford",212
"2278","2009","Limerick","Wexford",216
"2279","2010","Limerick","Wexford",224
"2280","2011","Limerick","Wexford",223
"2281","2012","Limerick","Wexford",242
"2282","2013","Limerick","Wexford",247
"2283","2000","Tipperary","Wexford",1
"2284","2001","Tipperary","Wexford",1
"2285","2002","Tipperary","Wexford",2
"2286","2003","Tipperary","Wexford",3
"2287","2004","Tipperary","Wexford",5
"2288","2005","Tipperary","Wexford",4
"2289","2006","Tipperary","Wexford",4
"2290","2007","Tipperary","Wexford",2
"2291","2008","Tipperary","Wexford",2
"2292","2009","Tipperary","Wexford",3
"2293","2010","Tipperary","Wexford",8
"2294","2011","Tipperary","Wexford",14
"2295","2012","Tipperary","Wexford",0
"2296","2013","Tipperary","Wexford",0
"2297","2000","Waterford","Wexford",909
"2298","2001","Waterford","Wexford",976
"2299","2002","Waterford","Wexford",999
"2300","2003","Waterford","Wexford",1050
"2301","2004","Waterford","Wexford",1084
"2302","2005","Waterford","Wexford",1015
"2303","2006","Waterford","Wexford",1049
"2304","2007","Waterford","Wexford",1009
"2305","2008","Waterford","Wexford",1016
"2306","2009","Waterford","Wexford",982
"2307","2010","Waterford","Wexford",992
"2308","2011","Waterford","Wexford",1012
"2309","2012","Waterford","Wexford",1058
"2310","2013","Waterford","Wexford",1087
"2311","2000","Galway","Wexford",94
"2312","2001","Galway","Wexford",82
"2313","2002","Galway","Wexford",82
"2314","2003","Galway","Wexford",75
"2315","2004","Galway","Wexford",76
"2316","2005","Galway","Wexford",73
"2317","2006","Galway","Wexford",74
"2318","2007","Galway","Wexford",70
"2319","2008","Galway","Wexford",76
"2320","2009","Galway","Wexford",61
"2321","2010","Galway","Wexford",75
"2322","2011","Galway","Wexford",74
"2323","2012","Galway","Wexford",73
"2324","2013","Galway","Wexford",86
"2325","2000","Sligo","Wexford",21
"2326","2001","Sligo","Wexford",24
"2327","2002","Sligo","Wexford",13
"2328","2003","Sligo","Wexford",12
"2329","2004","Sligo","Wexford",7
"2330","2005","Sligo","Wexford",8
"2331","2006","Sligo","Wexford",11
"2332","2007","Sligo","Wexford",15
"2333","2008","Sligo","Wexford",12
"2334","2009","Sligo","Wexford",11
"2335","2010","Sligo","Wexford",11
"2336","2011","Sligo","Wexford",9
"2337","2012","Sligo","Wexford",11
"2338","2013","Sligo","Wexford",10
"2339","2000","Donegal","Wexford",9
"2340","2001","Donegal","Wexford",5
"2341","2002","Donegal","Wexford",1
"2342","2003","Donegal","Wexford",4
"2343","2004","Donegal","Wexford",3
"2344","2005","Donegal","Wexford",4
"2345","2006","Donegal","Wexford",4
"2346","2007","Donegal","Wexford",3
"2347","2008","Donegal","Wexford",1
"2348","2009","Donegal","Wexford",2
"2349","2010","Donegal","Wexford",3
"2350","2011","Donegal","Wexford",6
"2351","2012","Donegal","Wexford",3
"2352","2013","Donegal","Wexford",5
"2367","2000","Carlow","Wicklow",133
"2368","2001","Carlow","Wicklow",153
"2369","2002","Carlow","Wicklow",149
"2370","2003","Carlow","Wicklow",153
"2371","2004","Carlow","Wicklow",168
"2372","2005","Carlow","Wicklow",164
"2373","2006","Carlow","Wicklow",173
"2374","2007","Carlow","Wicklow",187
"2375","2008","Carlow","Wicklow",188
"2376","2009","Carlow","Wicklow",209
"2377","2010","Carlow","Wicklow",193
"2378","2011","Carlow","Wicklow",203
"2379","2012","Carlow","Wicklow",217
"2380","2013","Carlow","Wicklow",224
"2381","2000","Dublin","Wicklow",2052
"2382","2001","Dublin","Wicklow",2100
"2383","2002","Dublin","Wicklow",2234
"2384","2003","Dublin","Wicklow",2235
"2385","2004","Dublin","Wicklow",2376
"2386","2005","Dublin","Wicklow",2906
"2387","2006","Dublin","Wicklow",2449
"2388","2007","Dublin","Wicklow",2572
"2389","2008","Dublin","Wicklow",2649
"2390","2009","Dublin","Wicklow",2752
"2391","2010","Dublin","Wicklow",3053
"2392","2011","Dublin","Wicklow",3238
"2393","2012","Dublin","Wicklow",3373
"2394","2013","Dublin","Wicklow",3419
"2395","2000","Kildare","Wicklow",102
"2396","2001","Kildare","Wicklow",102
"2397","2002","Kildare","Wicklow",97
"2398","2003","Kildare","Wicklow",86
"2399","2004","Kildare","Wicklow",92
"2400","2005","Kildare","Wicklow",99
"2401","2006","Kildare","Wicklow",96
"2402","2007","Kildare","Wicklow",107
"2403","2008","Kildare","Wicklow",117
"2404","2009","Kildare","Wicklow",118
"2405","2010","Kildare","Wicklow",116
"2406","2011","Kildare","Wicklow",137
"2407","2012","Kildare","Wicklow",153
"2408","2013","Kildare","Wicklow",188
"2409","2000","Louth","Wicklow",24
"2410","2001","Louth","Wicklow",10
"2411","2002","Louth","Wicklow",11
"2412","2003","Louth","Wicklow",15
"2413","2004","Louth","Wicklow",14
"2414","2005","Louth","Wicklow",13
"2415","2006","Louth","Wicklow",16
"2416","2007","Louth","Wicklow",22
"2417","2008","Louth","Wicklow",22
"2418","2009","Louth","Wicklow",26
"2419","2010","Louth","Wicklow",24
"2420","2011","Louth","Wicklow",14
"2421","2012","Louth","Wicklow",23
"2422","2013","Louth","Wicklow",22
"2423","2000","Westmeath","Wicklow",26
"2424","2001","Westmeath","Wicklow",19
"2425","2002","Westmeath","Wicklow",15
"2426","2003","Westmeath","Wicklow",13
"2427","2004","Westmeath","Wicklow",9
"2428","2005","Westmeath","Wicklow",13
"2429","2006","Westmeath","Wicklow",13
"2430","2007","Westmeath","Wicklow",9
"2431","2008","Westmeath","Wicklow",7
"2432","2009","Westmeath","Wicklow",10
"2433","2010","Westmeath","Wicklow",14
"2434","2011","Westmeath","Wicklow",17
"2435","2012","Westmeath","Wicklow",20
"2436","2013","Westmeath","Wicklow",20
"2437","2000","Cork","Wicklow",46
"2438","2001","Cork","Wicklow",43
"2439","2002","Cork","Wicklow",43
"2440","2003","Cork","Wicklow",40
"2441","2004","Cork","Wicklow",39
"2442","2005","Cork","Wicklow",44
"2443","2006","Cork","Wicklow",50
"2444","2007","Cork","Wicklow",65
"2445","2008","Cork","Wicklow",64
"2446","2009","Cork","Wicklow",63
"2447","2010","Cork","Wicklow",55
"2448","2011","Cork","Wicklow",62
"2449","2012","Cork","Wicklow",62
"2450","2013","Cork","Wicklow",67
"2451","2000","Kerry","Wicklow",3
"2452","2001","Kerry","Wicklow",4
"2453","2002","Kerry","Wicklow",5
"2454","2003","Kerry","Wicklow",4
"2455","2004","Kerry","Wicklow",5
"2456","2005","Kerry","Wicklow",10
"2457","2006","Kerry","Wicklow",8
"2458","2007","Kerry","Wicklow",8
"2459","2008","Kerry","Wicklow",8
"2460","2009","Kerry","Wicklow",13
"2461","2010","Kerry","Wicklow",11
"2462","2011","Kerry","Wicklow",16
"2463","2012","Kerry","Wicklow",20
"2464","2013","Kerry","Wicklow",22
"2465","2000","Limerick","Wicklow",50
"2466","2001","Limerick","Wicklow",49
"2467","2002","Limerick","Wicklow",57
"2468","2003","Limerick","Wicklow",46
"2469","2004","Limerick","Wicklow",49
"2470","2005","Limerick","Wicklow",55
"2471","2006","Limerick","Wicklow",50
"2472","2007","Limerick","Wicklow",58
"2473","2008","Limerick","Wicklow",60
"2474","2009","Limerick","Wicklow",70
"2475","2010","Limerick","Wicklow",82
"2476","2011","Limerick","Wicklow",79
"2477","2012","Limerick","Wicklow",85
"2478","2013","Limerick","Wicklow",93
"2479","2000","Tipperary","Wicklow",0
"2480","2001","Tipperary","Wicklow",2
"2481","2002","Tipperary","Wicklow",2
"2482","2003","Tipperary","Wicklow",1
"2483","2004","Tipperary","Wicklow",1
"2484","2005","Tipperary","Wicklow",0
"2485","2006","Tipperary","Wicklow",1
"2486","2007","Tipperary","Wicklow",1
"2487","2008","Tipperary","Wicklow",0
"2488","2009","Tipperary","Wicklow",1
"2489","2010","Tipperary","Wicklow",1
"2490","2011","Tipperary","Wicklow",6
"2491","2012","Tipperary","Wicklow",0
"2492","2013","Tipperary","Wicklow",0
"2493","2000","Waterford","Wicklow",178
"2494","2001","Waterford","Wicklow",198
"2495","2002","Waterford","Wicklow",125
"2496","2003","Waterford","Wicklow",155
"2497","2004","Waterford","Wicklow",151
"2498","2005","Waterford","Wicklow",151
"2499","2006","Waterford","Wicklow",155
"2500","2007","Waterford","Wicklow",149
"2501","2008","Waterford","Wicklow",191
"2502","2009","Waterford","Wicklow",204
"2503","2010","Waterford","Wicklow",194
"2504","2011","Waterford","Wicklow",192
"2505","2012","Waterford","Wicklow",185
"2506","2013","Waterford","Wicklow",175
"2507","2000","Galway","Wicklow",59
"2508","2001","Galway","Wicklow",56
"2509","2002","Galway","Wicklow",53
"2510","2003","Galway","Wicklow",67
"2511","2004","Galway","Wicklow",68
"2512","2005","Galway","Wicklow",79
"2513","2006","Galway","Wicklow",73
"2514","2007","Galway","Wicklow",77
"2515","2008","Galway","Wicklow",73
"2516","2009","Galway","Wicklow",72
"2517","2010","Galway","Wicklow",105
"2518","2011","Galway","Wicklow",106
"2519","2012","Galway","Wicklow",110
"2520","2013","Galway","Wicklow",107
"2521","2000","Sligo","Wicklow",15
"2522","2001","Sligo","Wicklow",20
"2523","2002","Sligo","Wicklow",21
"2524","2003","Sligo","Wicklow",8
"2525","2004","Sligo","Wicklow",6
"2526","2005","Sligo","Wicklow",10
"2527","2006","Sligo","Wicklow",9
"2528","2007","Sligo","Wicklow",13
"2529","2008","Sligo","Wicklow",9
"2530","2009","Sligo","Wicklow",8
"2531","2010","Sligo","Wicklow",13
"2532","2011","Sligo","Wicklow",19
"2533","2012","Sligo","Wicklow",19
"2534","2013","Sligo","Wicklow",26
"2535","2000","Donegal","Wicklow",8
"2536","2001","Donegal","Wicklow",7
"2537","2002","Donegal","Wicklow",2
"2538","2003","Donegal","Wicklow",3
"2539","2004","Donegal","Wicklow",3
"2540","2005","Donegal","Wicklow",7
"2541","2006","Donegal","Wicklow",4
"2542","2007","Donegal","Wicklow",4
"2543","2008","Donegal","Wicklow",6
"2544","2009","Donegal","Wicklow",5
"2545","2010","Donegal","Wicklow",9
"2546","2011","Donegal","Wicklow",13
"2547","2012","Donegal","Wicklow",8
"2548","2013","Donegal","Wicklow",11
"2563","2000","Carlow","Clare",19
"2564","2001","Carlow","Clare",23
"2565","2002","Carlow","Clare",18
"2566","2003","Carlow","Clare",16
"2567","2004","Carlow","Clare",17
"2568","2005","Carlow","Clare",20
"2569","2006","Carlow","Clare",14
"2570","2007","Carlow","Clare",13
"2571","2008","Carlow","Clare",12
"2572","2009","Carlow","Clare",12
"2573","2010","Carlow","Clare",13
"2574","2011","Carlow","Clare",17
"2575","2012","Carlow","Clare",15
"2576","2013","Carlow","Clare",18
"2577","2000","Dublin","Clare",422
"2578","2001","Dublin","Clare",371
"2579","2002","Dublin","Clare",356
"2580","2003","Dublin","Clare",353
"2581","2004","Dublin","Clare",329
"2582","2005","Dublin","Clare",354
"2583","2006","Dublin","Clare",358
"2584","2007","Dublin","Clare",333
"2585","2008","Dublin","Clare",316
"2586","2009","Dublin","Clare",343
"2587","2010","Dublin","Clare",381
"2588","2011","Dublin","Clare",396
"2589","2012","Dublin","Clare",444
"2590","2013","Dublin","Clare",427
"2591","2000","Kildare","Clare",65
